"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","entrez","name"
"ENSG00000117519",4483.62709360346,-2.42271923978384,0.0600016229751453,-40.3775618000768,0,0,"CNN3","1266","Hs.483454"
"ENSG00000183508",2053.88135557663,3.20195534773574,0.0724172024460707,44.2153968888849,0,0,"FAM46C","54855","Hs.356216"
"ENSG00000159176",5692.46278267679,-2.31373756501605,0.0575533673610113,-40.2016019410787,0,0,"CSRP1","1465","Hs.108080"
"ENSG00000150938",7442.98631416393,-2.05963137021869,0.0538449085481323,-38.2511815091592,0,0,"CRIM1","51232","Hs.699247"
"ENSG00000116016",4423.94665216876,-1.88801937251539,0.0431679927441312,-43.7365569371319,0,0,"EPAS1","2034","Hs.468410"
"ENSG00000136068",3796.1265394147,-1.64979200670737,0.043935438000893,-37.550371221378,0,0,"FLNB","2317","Hs.476448"
"ENSG00000164251",2348.7701339719,3.34450833208896,0.0690717580688999,48.420778992664,0,0,"F2RL1","2150","Hs.744181"
"ENSG00000124766",2576.65254960143,2.39228794572606,0.0617086160561637,38.7674865945582,0,0,"SOX4","6659","Hs.643910"
"ENSG00000124762",28106.1191885778,1.83225777685848,0.0388966424646405,47.1058081304605,0,0,"CDKN1A","1026","Hs.370771"
"ENSG00000106366",43719.1260988373,-1.84404649933582,0.0419165006830691,-43.993331248681,0,0,"SERPINE1","5054","Hs.414795"
"ENSG00000188153",2944.12640623352,2.26608046255742,0.0552681297682498,41.0015767144563,0,0,"COL4A5","1287","Hs.369089"
"ENSG00000122861",28007.1433373973,2.26252546550833,0.0552183321454132,40.9741724822501,0,0,"PLAU","5328","Hs.77274"
"ENSG00000148773",1840.19727265675,-3.1960583255764,0.075785036155238,-42.1726832593917,0,0,"MKI67","4288","Hs.80976"
"ENSG00000059804",3443.39680712992,2.07976295763389,0.0543254358181431,38.2834104561258,0,0,"SLC2A3","6515","Hs.419240"
"ENSG00000123416",4420.07398793879,-1.93841810354678,0.0505768640522764,-38.3261821362278,0,0,"TUBA1B","10376","Hs.524390"
"ENSG00000139289",12942.9106281238,2.03736205039223,0.0462973444022322,44.0060240322121,0,0,"PHLDA1","22822","Hs.602085"
"ENSG00000125257",6050.78726438958,1.95054949490536,0.0435953854055785,44.7421092108471,0,0,"ABCC4","10257","Hs.508423"
"ENSG00000211448",1884.75741158654,2.52372169442315,0.0653981307723763,38.5901196963439,0,0,"DIO2","1734","Hs.202354"
"ENSG00000128917",1307.34250385583,3.85825311452754,0.086518543888932,44.5945220654726,0,0,"DLL4","54567","Hs.511076"
"ENSG00000138623",2851.61916336974,-2.40668774840735,0.0581377327473905,-41.3963124235416,0,0,"SEMA7A","8482","Hs.24640"
